 Month,Year,Rainfall,WPI
1,2004,20.9,112.3
2,2004,9.84,109.5
3,2004,14.33,106.9
4,2004,54.81,90.3
5,2004,120.21,90
6,2004,221.8,90.9
7,2004,293.62,93.8
8,2004,275.96,96.6
9,2004,150,97.8
10,2004,107.22,102.4
11,2004,25.32,106.6
12,2004,5.06,109.5
1,2005,30.15,108.4
2,2005,34.56,108.4
3,2005,40.99,106.7
4,2005,45.2,101.1
5,2005,65.05,102
6,2005,201.71,105.4
7,2005,393.3,108.6
8,2005,230.8,108.9
9,2005,237.58,111.6
10,2005,117.78,114.7
11,2005,40.25,121.5
12,2005,18.93,124.4
1,2006,12.29,129
2,2006,9.34,129.3
3,2006,34.61,121.6
4,2006,37.06,115.4
5,2006,122.76,122.4
6,2006,207.46,121.1
7,2006,339.33,121.1
8,2006,305.18,121.2
9,2006,211.98,122
10,2006,77.23,123.4
11,2006,38.45,127.1
12,2006,11.08,129.9
1,2007,2.43,127.7
2,2007,34.83,126.9
3,2007,28.65,126.3
4,2007,42.29,123.9
5,2007,72.11,122.3
6,2007,270.4,121.7
7,2007,363.05,121.6
8,2007,310.5,123.8
9,2007,270.61,134.2
10,2007,76.21,141.7
11,2007,24,143.6
12,2007,18.95,144.7
1,2008,19.41,151.2
2,2008,17.78,152.7
3,2008,50.4,157.7
4,2008,40.5,152.6
5,2008,69.56,150.1
6,2008,259.4,158
7,2008,293.27,155.4
8,2008,307.08,152.2
9,2008,192.55,151
10,2008,71.02,150.1
11,2008,33.34,155
12,2008,13.02,153
1,2009,8.24,152.4
2,2009,10.63,151.9
3,2009,17.09,152.6
4,2009,30.67,151.4
5,2009,79.55,151.6
6,2009,137.04,151.1
7,2009,342.42,148.8
8,2009,220.29,149.7
9,2009,174.61,148.7
10,2009,93.45,148.9
11,2009,61.28,149.6
12,2009,15.37,150.3
1,2010,9.83,152.7
2,2010,12.7,151.8
3,2010,18.55,152.6
4,2010,49.19,152.3
5,2010,86.26,152.4
6,2010,204.78,151
7,2010,358.325,153.3
8,2010,302.26,158.5
9,2010,217.91,157.7
10,2010,94.18,165.7
11,2010,74.48,169.6
12,2010,28.58,176.6
1,2011,14.35,179.3
2,2011,22.45,187.5
3,2011,28.07,184.3
4,2011,48.84,165.3
5,2011,71.55,181
6,2011,245.43,177.8
7,2011,324.65,181.7
8,2011,329.4,180.1
9,2011,218.18,177.4
10,2011,55.4,174.6
11,2011,29.98,176
12,2011,12.85,174
1,2012,27.62,182.3
2,2012,9.66,189
3,2012,12.2,203.1
4,2012,57.91,210.8
5,2012,50.87,212.5
6,2012,184.66,200
7,2012,287.23,203
8,2012,294.01,203.8
9,2012,231.39,200.8
10,2012,77.68,198.4
11,2012,38.55,204.1
12,2012,13.84,217.7
1,2013,12.1,214.8
2,2013,36.56,215.8
3,2013,17.47,214.7
4,2013,31.6,209.6
5,2013,82.8,206.2
6,2013,297.41,208.1
7,2013,372.56,208.6
8,2013,264.33,209.3
9,2013,179.24,212.4
10,2013,144.81,213.6
11,2013,27.39,216.2
12,2013,8.81,221.5
1,2014,16.18,222.3
2,2014,25.64,221.6
3,2014,29.44,222.7
4,2014,22.05,214.6
5,2014,91.01,217.1
6,2014,142.26,212.5
7,2014,309.73,215.8
8,2014,291.225,222.9
9,2014,198.37,228.1
10,2014,81.15,233
11,2014,21.11,230.3
12,2014,16.16,235
1,2015,19.05,242.6
2,2015,16.82,241.6
3,2015,51.73,238.6
4,2015,76.22,217.8
5,2015,75.52,220.9
6,2015,239.35,217.3
7,2015,269.87,219.3
8,2015,235.71,220.6
9,2015,158.06,223.5
10,2015,61.23,230.6
11,2015,55.56,238.5
12,2015,21.41,243.9
1,2016,10.25,248.1
2,2016,10.52,253.3
3,2016,27.33,250.2
4,2016,31.91,258.7
5,2016,84.33,268.7
6,2016,214.3,274.2
7,2016,349.77,278.2
8,2016,242.52,280
9,2016,198.41,277.1
10,2016,66.06,276.3
11,2016,14.47,287.1
12,2016,23.77,290.6
1,2017,25.45,291.6
2,2017,9.14,291.9
3,2017,33.61,283.8
4,2017,47.88,144.5
5,2017,77.32,137.7
6,2017,232.57,138.1
7,2017,322.08,139.3
8,2017,277.41,139.1
9,2017,191,140.3
10,2017,103.78,141.2
11,2017,22.35,140.4
12,2017,25.34,142.9
1,2018,16.3,141.6
2,2018,22.5,141
3,2018,28,140.8
4,2018,40.52,138.9
5,2018,82.2,139.8
6,2018,155.7,141.7
7,2018,273.8,141
8,2018,240.5,145
9,2018,132.3,146.7
10,2018,70.33,150.2
11,2018,23.6,153.5
12,2018,15.4,154.8
1,2019,16.3,168.0
2,2019,22.5,168.6
3,2019,28,169.8
4,2019,40.52,169.9
5,2019,82.2,170.8
6,2019,155.7,170.7
7,2019,273.8,171
8,2019,240.5,171.3
9,2019,132.3,171.7
10,2019,70.33,172.2
11,2019,23.6,172.5
12,2019,15.4,172.8
1,2020,16.3,162.6
2,2020,22.5,162
3,2020,28,161.8
4,2020,40.52,160.9
5,2020,82.2,159.8
6,2020,155.7,158.7
7,2020,273.8,157
8,2020,240.5,156
9,2020,132.3,155.7
10,2020,70.33,155.2
11,2020,23.6,154.5
12,2020,15.4,154.8
1,2021,16.3,160.2
2,2021,22.5,161
3,2021,28,162.8
4,2021,40.52,162.9
5,2021,82.2,163.8
6,2021,155.7,164.7
7,2021,273.8,165
8,2021,240.5,166
9,2021,132.3,167.7
10,2021,70.33,167.8
11,2021,23.6,168.5
12,2021,15.4,169.8